"","SRX033482","SRX033489","SRX033479","SRX033490","SRX033480","SRX033472","SRX033485","SRX033493","SRX033475","SRX033486"
"ENSMUSG00000000001",348,769,321,803,369,301,294,758,374,419
"ENSMUSG00000000056",12,36,47,55,21,40,21,52,27,27
"ENSMUSG00000000058",14,34,22,32,15,17,17,29,15,12
"ENSMUSG00000000078",378,813,401,860,517,331,490,1079,480,565
"ENSMUSG00000000088",301,745,331,653,273,473,431,909,395,592
"ENSMUSG00000000093",27,34,36,40,11,28,36,31,20,10
"ENSMUSG00000000120",27,110,21,81,19,63,70,16,14,12
"ENSMUSG00000000125",22,42,28,54,19,14,9,27,28,11
"ENSMUSG00000000126",67,101,218,117,97,165,113,198,152,92
"ENSMUSG00000000127",78,166,93,182,108,99,75,227,99,91
"ENSMUSG00000000131",916,2078,1463,2173,858,1502,1305,2489,1286,1417
"ENSMUSG00000000149",1174,2591,2025,2623,922,1717,1224,2437,1232,1134
"ENSMUSG00000000167",0,4,2,9,0,2,3,12,1,3
"ENSMUSG00000000168",15,29,14,21,11,19,5,12,16,10
"ENSMUSG00000000171",522,1115,633,1105,500,816,512,1225,599,618
"ENSMUSG00000000182",0,8,7,4,2,6,11,1,1,4
"ENSMUSG00000000184",204,417,425,505,224,240,252,481,238,226
"ENSMUSG00000000197",584,1341,749,1328,616,728,729,1420,722,833
"ENSMUSG00000000202",8,33,27,34,14,39,20,27,16,15
"ENSMUSG00000000223",122,256,182,259,114,153,192,370,171,198
"ENSMUSG00000000247",31,61,69,66,24,47,48,65,20,37
"ENSMUSG00000000253",39,87,42,104,30,85,30,90,51,23
"ENSMUSG00000000263",0,4,4,5,2,5,4,7,10,4
"ENSMUSG00000000275",9,19,27,11,10,27,14,14,18,11
"ENSMUSG00000000276",585,1283,926,1274,657,587,501,1120,708,727
"ENSMUSG00000000278",78,194,116,274,124,83,80,250,118,92
"ENSMUSG00000000282",6,18,13,13,10,3,13,17,10,10
"ENSMUSG00000000290",10,10,6,5,5,9,2,7,6,3
"ENSMUSG00000000296",177,486,222,507,159,172,117,390,178,161
"ENSMUSG00000000326",243,566,445,556,204,292,225,421,187,221
"ENSMUSG00000000340",169,404,132,441,218,122,148,401,161,210
"ENSMUSG00000000346",525,1071,507,1261,545,468,530,1273,501,666
"ENSMUSG00000000365",11,20,10,15,7,9,9,23,5,13
"ENSMUSG00000000374",1209,2647,1741,2746,1176,1737,1564,2911,1369,1574
"ENSMUSG00000000399",760,1769,926,1681,755,1019,643,1785,756,768
"ENSMUSG00000000402",22,44,11,59,24,8,8,19,8,12
"ENSMUSG00000000420",269,698,308,687,355,325,277,795,319,391
"ENSMUSG00000000439",119,208,117,240,83,136,90,266,113,110
"ENSMUSG00000000440",14,29,22,23,10,19,21,50,12,19
"ENSMUSG00000000489",193,341,510,332,220,335,231,339,232,232
"ENSMUSG00000000531",406,523,727,688,340,641,500,671,572,426
"ENSMUSG00000000532",1374,2904,2220,2724,1567,2182,1658,3071,1853,1617
"ENSMUSG00000000552",494,1037,958,1172,491,1150,864,1245,840,689
"ENSMUSG00000000555",270,442,301,429,139,242,201,495,265,239
"ENSMUSG00000000560",469,1010,313,987,458,661,841,1867,965,1363
"ENSMUSG00000000562",6,17,7,39,16,18,3,32,7,8
"ENSMUSG00000000567",189,406,316,511,272,263,354,487,265,227
"ENSMUSG00000000568",643,1142,706,1361,722,804,368,1236,695,534
"ENSMUSG00000000594",341,858,529,1011,355,467,456,910,361,408
"ENSMUSG00000000600",404,831,346,1008,403,279,336,1031,389,558
"ENSMUSG00000000605",1980,4551,2502,4671,2188,2445,2139,5201,2460,2871
"ENSMUSG00000000627",16,31,40,34,10,25,18,44,20,17
"ENSMUSG00000000628",44,93,75,85,30,48,52,81,42,45
"ENSMUSG00000000708",72,104,48,66,44,31,59,105,37,66
"ENSMUSG00000000711",53,55,58,62,41,89,34,67,40,47
"ENSMUSG00000000732",11,17,21,26,7,15,7,21,10,11
"ENSMUSG00000000743",200,378,273,379,159,257,183,352,256,191
"ENSMUSG00000000751",1,7,11,4,8,7,9,9,2,4
"ENSMUSG00000000759",343,852,460,923,309,550,450,1118,466,474
"ENSMUSG00000000776",133,305,219,328,119,228,192,391,189,166
"ENSMUSG00000000782",57,149,89,136,49,61,55,98,58,55
"ENSMUSG00000000791",10,14,12,21,7,21,7,22,21,10
"ENSMUSG00000000792",58,208,127,233,79,73,51,116,45,60
"ENSMUSG00000000794",32,82,66,52,29,63,31,68,41,44
"ENSMUSG00000000804",1914,4121,2326,4099,2278,2001,2043,5010,2364,3061
"ENSMUSG00000000811",14,30,31,47,15,31,19,45,38,18
"ENSMUSG00000000876",10,19,12,28,10,14,15,19,15,14
"ENSMUSG00000000902",28,69,52,72,34,70,41,80,42,38
"ENSMUSG00000000915",768,1637,1469,1743,692,1519,971,1819,1092,910
"ENSMUSG00000000934",109,174,115,199,74,175,81,231,129,94
"ENSMUSG00000000948",892,1756,1522,1646,789,1528,767,1774,747,993
"ENSMUSG00000000957",78,172,93,193,61,132,90,152,121,77
"ENSMUSG00000000958",25,63,30,52,28,16,7,33,13,12
"ENSMUSG00000000959",316,652,392,680,262,430,388,825,322,365
"ENSMUSG00000001014",4,13,14,16,14,18,11,20,8,14
"ENSMUSG00000001016",427,1103,529,1112,521,480,499,1192,486,512
"ENSMUSG00000001017",16,33,18,50,15,13,26,30,19,29
"ENSMUSG00000001018",81,208,119,268,113,89,87,196,132,119
"ENSMUSG00000001020",0,8,5,9,2,6,1,13,2,2
"ENSMUSG00000001021",4,7,7,11,5,12,5,11,6,2
"ENSMUSG00000001025",27,73,66,119,48,46,40,84,20,41
"ENSMUSG00000001052",585,1478,951,1694,631,959,912,1689,798,908
"ENSMUSG00000001053",22,44,55,48,14,60,49,62,43,27
"ENSMUSG00000001056",145,274,156,256,139,237,110,325,182,153
"ENSMUSG00000001098",48,72,53,97,52,69,71,113,43,66
"ENSMUSG00000001103",8,14,38,20,7,12,7,27,8,13
"ENSMUSG00000001105",166,318,157,301,151,198,129,353,138,163
"ENSMUSG00000001120",134,364,267,417,127,275,170,406,189,153
"ENSMUSG00000001128",20,58,40,99,20,38,38,112,18,34
"ENSMUSG00000001131",8,10,9,11,8,7,3,4,13,7
"ENSMUSG00000001150",812,1719,1121,1767,702,1150,940,1884,973,999
"ENSMUSG00000001151",488,921,646,1035,420,737,500,1019,610,533
"ENSMUSG00000001156",228,479,350,840,260,266,249,528,270,284
"ENSMUSG00000001158",25,93,30,102,35,14,13,94,35,24
"ENSMUSG00000001227",878,1728,2333,1844,900,2218,1466,2042,1745,1215
"ENSMUSG00000001229",527,1125,926,1106,420,911,760,1366,671,618
"ENSMUSG00000001240",0,14,6,12,11,2,7,10,3,3
"ENSMUSG00000001247",23,48,36,43,16,38,33,40,25,23
"ENSMUSG00000001248",738,1351,1058,1608,535,1332,1212,1816,1029,997
"ENSMUSG00000001249",9,14,13,15,11,25,3,19,11,7
"ENSMUSG00000001260",118,248,70,250,133,97,126,220,115,150
"ENSMUSG00000001270",545,1580,1160,1553,489,979,975,1424,542,936
"ENSMUSG00000001280",342,714,326,751,324,355,335,784,387,476
"ENSMUSG00000001285",163,319,228,356,151,193,131,359,140,130
"ENSMUSG00000001288",2,4,0,6,0,5,2,4,1,2
"ENSMUSG00000001289",107,253,92,275,82,119,101,268,54,125
"ENSMUSG00000001300",98,301,217,316,128,218,156,334,155,151
"ENSMUSG00000001305",34,93,39,123,39,43,18,100,37,34
"ENSMUSG00000001313",34,149,84,152,28,68,42,180,76,29
"ENSMUSG00000001323",7,11,10,20,14,8,9,14,14,12
"ENSMUSG00000001333",12,14,8,11,11,12,5,19,8,10
"ENSMUSG00000001334",813,1809,1036,2018,809,1097,916,1850,846,919
"ENSMUSG00000001348",0,3,5,7,0,2,2,3,5,4
"ENSMUSG00000001349",6,4,5,9,1,2,7,3,3,0
"ENSMUSG00000001376",588,1488,658,1487,726,488,512,1515,658,900
"ENSMUSG00000001379",287,651,439,625,248,486,350,692,429,337
"ENSMUSG00000001380",568,1190,765,1149,592,922,592,1694,692,762
"ENSMUSG00000001383",781,1624,889,1571,856,799,375,1648,939,733
"ENSMUSG00000001415",1182,2246,1513,2537,923,1750,1551,2597,1336,1301
"ENSMUSG00000001416",398,1098,512,1018,445,554,355,1182,426,441
"ENSMUSG00000001420",10,14,13,18,8,13,6,18,6,9
"ENSMUSG00000001424",796,1540,1036,1576,659,1198,899,1725,846,845
"ENSMUSG00000001445",101,247,158,284,90,164,128,246,119,118
"ENSMUSG00000001467",0,7,4,9,7,4,4,15,9,7
"ENSMUSG00000001472",2714,6418,4653,6942,2701,4581,3410,8217,3622,3433
"ENSMUSG00000001473",22,84,68,80,27,21,21,27,13,17
"ENSMUSG00000001482",24,40,43,61,23,28,35,58,31,29
"ENSMUSG00000001493",3,8,7,6,1,13,6,16,6,20
"ENSMUSG00000001496",40,86,24,72,26,62,47,68,27,19
"ENSMUSG00000001518",26,57,45,62,29,71,37,67,29,36
"ENSMUSG00000001520",22,49,45,66,12,54,47,59,42,36
"ENSMUSG00000001525",32,151,63,103,27,32,100,152,49,41
"ENSMUSG00000001542",348,602,313,652,337,228,271,858,303,448
"ENSMUSG00000001558",1,4,2,14,0,4,4,6,2,0
"ENSMUSG00000001569",63,149,38,121,33,54,75,157,55,78
"ENSMUSG00000001576",425,1044,824,1145,458,755,608,1276,559,579
"ENSMUSG00000001627",186,373,165,409,191,150,135,525,188,301
"ENSMUSG00000001630",2,22,8,20,9,7,7,21,12,9
"ENSMUSG00000001663",16,35,17,33,8,16,22,45,19,12
"ENSMUSG00000001665",0,8,5,8,3,8,5,4,2,2
"ENSMUSG00000001666",76,224,103,267,94,131,129,270,85,143
"ENSMUSG00000001687",2152,4028,2038,3931,2105,1838,1982,4094,1712,2228
"ENSMUSG00000001700",94,143,91,148,77,65,72,139,47,80
"ENSMUSG00000001707",164,308,110,300,141,141,103,363,154,164
"ENSMUSG00000001751",11,35,32,32,6,19,21,32,30,20
"ENSMUSG00000001755",63,99,72,108,33,56,61,119,51,57
"ENSMUSG00000001761",49,138,107,134,51,111,108,138,109,79
"ENSMUSG00000001763",28,29,33,33,21,27,30,37,31,18
"ENSMUSG00000001773",46,113,32,96,47,51,58,193,80,106
"ENSMUSG00000001774",635,1225,459,1462,749,268,432,1358,384,866
"ENSMUSG00000001783",88,208,117,147,102,115,62,180,87,101
"ENSMUSG00000001785",132,338,168,358,163,175,119,379,150,139
"ENSMUSG00000001802",9,16,10,15,0,14,12,21,6,10
"ENSMUSG00000001833",2472,5355,2097,5628,3176,1507,1420,6319,2567,3403
"ENSMUSG00000001847",10,96,45,160,28,36,22,145,25,12
"ENSMUSG00000001864",0,9,9,5,4,10,2,4,1,2
"ENSMUSG00000001891",111,244,55,306,110,61,102,295,76,137
"ENSMUSG00000001910",217,505,447,580,221,431,232,525,336,223
"ENSMUSG00000001942",189,579,309,579,228,211,240,522,218,278
"ENSMUSG00000001943",30,51,46,57,33,36,58,76,39,47
"ENSMUSG00000001948",9,32,13,40,18,4,12,22,7,6
"ENSMUSG00000001962",10,24,14,27,13,26,4,17,18,8
"ENSMUSG00000001964",24,55,20,66,19,34,33,74,31,46
"ENSMUSG00000001983",98,210,129,225,119,129,102,244,129,131
"ENSMUSG00000001985",2002,3721,3569,3445,2054,3516,2559,4738,2805,2459
"ENSMUSG00000001988",41,98,134,102,49,102,99,131,91,66
"ENSMUSG00000001995",554,1046,1020,1203,544,1017,820,1542,675,792
"ENSMUSG00000001999",34,128,37,97,36,67,26,147,57,50
"ENSMUSG00000002006",1523,3109,2284,3412,1369,2245,1447,3335,1667,1429
"ENSMUSG00000002007",5,28,13,28,4,13,11,15,6,7
"ENSMUSG00000002012",62,154,57,150,60,130,109,166,79,84
"ENSMUSG00000002014",39,56,36,91,20,24,38,82,22,45
"ENSMUSG00000002015",265,656,304,664,241,294,250,697,284,328
"ENSMUSG00000002020",15,24,11,14,13,15,10,9,4,12
"ENSMUSG00000002032",284,662,568,720,257,482,521,834,359,448
"ENSMUSG00000002043",10,19,13,21,9,9,13,17,4,4
"ENSMUSG00000002052",110,285,137,272,108,107,126,339,113,130
"ENSMUSG00000002064",148,385,247,341,145,302,152,420,193,142
"ENSMUSG00000002100",6,10,12,14,4,7,11,22,14,9
"ENSMUSG00000002103",16,42,30,48,25,22,30,40,18,24
"ENSMUSG00000002104",4,6,2,4,1,2,1,7,7,2
"ENSMUSG00000002109",17,31,18,51,15,16,13,27,11,20
"ENSMUSG00000002111",1,9,6,10,0,5,6,4,4,4
"ENSMUSG00000002190",112,182,89,216,94,90,67,148,97,101
"ENSMUSG00000002205",22,54,25,50,7,33,15,58,30,11
"ENSMUSG00000002221",385,890,707,1059,331,669,549,1133,530,451
"ENSMUSG00000002222",32,106,30,124,57,45,46,142,69,62
"ENSMUSG00000002228",3,12,8,10,2,5,3,2,4,3
"ENSMUSG00000002233",19,39,21,54,14,25,23,41,16,6
"ENSMUSG00000002249",0,2,2,10,0,4,2,4,2,1
"ENSMUSG00000002250",24,47,78,49,23,50,28,36,49,20
"ENSMUSG00000002266",29,59,34,70,25,53,33,67,22,24
"ENSMUSG00000002274",207,461,406,431,193,472,362,454,253,266
"ENSMUSG00000002289",15,18,11,39,7,8,8,27,14,20
"ENSMUSG00000002297",19,25,8,32,11,12,17,33,15,10
"ENSMUSG00000002307",173,354,285,387,166,255,203,397,226,236
"ENSMUSG00000002308",90,178,114,153,51,138,136,227,123,130
"ENSMUSG00000002326",159,374,178,405,130,221,181,423,158,231
"ENSMUSG00000002329",188,448,261,461,234,261,191,505,306,272
"ENSMUSG00000002332",67,204,131,227,66,150,166,248,106,138
"ENSMUSG00000002341",2941,6055,5757,6689,3213,4325,3247,5929,3666,3418
"ENSMUSG00000002345",42,135,91,153,46,88,59,156,46,47
"ENSMUSG00000002346",2,10,15,15,10,12,7,13,4,4
"ENSMUSG00000002365",45,86,44,99,27,34,54,81,24,35
"ENSMUSG00000002372",510,1026,1012,1130,490,1025,780,1338,690,595
"ENSMUSG00000002379",97,319,174,342,93,202,174,329,153,149
"ENSMUSG00000002409",303,574,588,613,243,656,644,503,460,423
"ENSMUSG00000002413",732,1431,757,1398,841,760,773,1546,900,1085
"ENSMUSG00000002455",35,79,40,97,40,37,31,89,33,50
"ENSMUSG00000002475",222,539,216,559,241,220,235,511,210,291
"ENSMUSG00000002477",45,62,26,76,47,29,10,53,24,27
"ENSMUSG00000002496",1270,2720,2067,3080,1073,1695,1468,2807,1442,1509
"ENSMUSG00000002500",3,3,2,10,5,6,1,8,2,4
"ENSMUSG00000002504",271,439,413,454,188,361,293,526,282,237
"ENSMUSG00000002524",1128,2334,1495,2511,976,1729,1039,2915,1306,1076
"ENSMUSG00000002580",301,775,311,823,328,378,399,1020,414,398
"ENSMUSG00000002603",24,78,57,68,24,41,68,84,39,59
"ENSMUSG00000002625",1065,2265,1389,2459,869,1558,1180,2684,1163,1204
"ENSMUSG00000002633",31,71,37,75,53,36,51,59,20,25
"ENSMUSG00000002635",31,68,66,71,23,40,33,63,28,27
"ENSMUSG00000002658",440,869,637,1090,429,687,327,1093,451,404
"ENSMUSG00000002660",237,504,394,494,208,428,282,561,275,247
"ENSMUSG00000002661",32,58,35,62,30,38,35,62,43,32
"ENSMUSG00000002664",1,6,2,5,2,5,4,4,3,8
"ENSMUSG00000002668",12,22,12,20,12,8,22,22,9,12
"ENSMUSG00000002688",111,276,117,242,135,119,88,250,106,133
"ENSMUSG00000002731",7,32,14,29,14,20,15,43,20,14
"ENSMUSG00000002733",31,67,34,57,24,36,28,79,25,29
"ENSMUSG00000002741",44,101,64,157,30,44,32,127,39,37
"ENSMUSG00000002768",245,548,375,626,229,461,269,630,284,249
"ENSMUSG00000002769",6,4,8,7,1,1,6,3,4,6
"ENSMUSG00000002771",1,0,4,2,0,4,3,0,3,4
"ENSMUSG00000002797",19,28,16,37,12,8,5,24,14,11
"ENSMUSG00000002799",245,512,590,534,225,558,429,558,387,306
"ENSMUSG00000002803",426,1102,793,1204,427,852,542,1231,581,533
"ENSMUSG00000002804",18,49,41,67,10,52,30,68,37,24
"ENSMUSG00000002808",993,2239,1263,2324,1094,1185,1144,2295,1273,1387
"ENSMUSG00000002820",146,287,285,277,134,293,272,346,192,239
"ENSMUSG00000002825",62,146,118,191,43,116,85,188,101,71
