"","sample.id","num.tech.reps","strain","experiment.number","lane.number"
"SRX033482","SRX033482",1,"C57BL/6J","6","3"
"SRX033489","SRX033489",1,"C57BL/6J","7","2"
"SRX033479","SRX033479",1,"C57BL/6J","4","8"
"SRX033490","SRX033490",1,"C57BL/6J","7","3"
"SRX033480","SRX033480",1,"C57BL/6J","6","1"
"SRX033472","SRX033472",1,"DBA/2J","4","1"
"SRX033485","SRX033485",1,"DBA/2J","6","7"
"SRX033493","SRX033493",1,"DBA/2J","7","7"
"SRX033475","SRX033475",1,"DBA/2J","4","5"
"SRX033486","SRX033486",1,"DBA/2J","6","8"
