"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSMUSG00000000001",441.176173640354,-0.211348435887704,0.16259104942354,-1.29987743259565,0.19364298092508,0.638256357597957,"Gnai3","14679","guanine nucleotide binding protein (G protein), alpha inhibiting 3"
"ENSMUSG00000000056",31.4876830516755,0.0590626096893445,0.276519068038412,0.213593261789599,0.830864254456036,0.959863758908864,"Narf","67608","nuclear prelamin A recognition factor"
"ENSMUSG00000000058",19.4006693357492,-0.292574904392342,0.279884610943603,-1.04534116186651,0.295865319911072,0.734956188178415,"Cav2","12390","caveolin 2"
"ENSMUSG00000000078",556.916467100848,0.0142926674637547,0.191282210851892,0.0747203171695952,0.940437242096943,0.987910000090572,"Klf6","23849","Kruppel-like factor 6"
"ENSMUSG00000000088",476.539393805467,0.387594347304625,0.137726263910957,2.81423699662117,0.00488931675052598,0.101839190239571,"Cox5a","12858","cytochrome c oxidase subunit 5A"
"ENSMUSG00000000093",26.645880952561,-0.13866842994391,0.348026228967381,-0.398442468992492,0.690304058069888,0.92731598498011,"Tbx2","21385","T-box 2"
"ENSMUSG00000000120",40.2138225064423,-0.140736753870997,0.671326850954732,-0.209639691412384,0.83394889866781,0.959929143802401,"Ngfr","18053","nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125",23.662689233567,-0.782301426931065,0.303486605920967,-2.57771318953954,0.00994565099035418,0.153183994997518,"Wnt3","22415","wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126",131.588715260997,0.254080834112428,0.302424625405324,0.840145982728414,0.400826540830676,0.805354230466664,"Wnt9a","216795","wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127",113.704536172377,-0.0694272327353768,0.172888749306233,-0.401571721780475,0.687999244674742,0.92666512251924,"Fer","14158","fer (fms/fps related) protein kinase"
"ENSMUSG00000000131",1456.39341962499,0.197824603183283,0.0876278415403741,2.25755421685397,0.0239734657332281,0.249917968707604,"Xpo6","74204","exportin 6"
"ENSMUSG00000000149",1593.62419410122,-0.171825483054926,0.139567785173264,-1.23112567016533,0.218275865977674,0.663389979599901,"Gna12","14673","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000167",2.75823291822602,0.628813514652831,0.823103741794535,0.763954144202878,0.444894569723708,0.825122158514621,"Pih1d2","72614","PIH1 domain containing 2"
"ENSMUSG00000000168",14.7734433864337,-0.415481449599384,0.379492173777924,-1.09483535711206,0.273588773338259,0.711819785675167,"Dlat","235339","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171",716.675301594577,0.0323845216117295,0.110286149565463,0.293640876386813,0.769032337173592,0.944164911437495,"Sdhd","66925","succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000182",4.39537969026888,0.457427794228675,0.785393928274718,0.5824182970621,0.560284960007212,0.875552176911897,"Fgf23","64654","fibroblast growth factor 23"
"ENSMUSG00000000184",302.771989745085,-0.245817566137192,0.149210767705688,-1.64745192265251,0.0994651904732156,0.492605570445315,"Ccnd2","12444","cyclin D2"
"ENSMUSG00000000197",850.812298963291,0.0311041698703831,0.0970228485923844,0.320586030214996,0.748524125549435,0.942413908619217,"Nalcn","338370","sodium leak channel, non-selective"
"ENSMUSG00000000202",21.9768963107621,0.168861877369015,0.329832616680799,0.511962337346503,0.608677368711482,0.897353820068088,"Btbd17","72014","BTB (POZ) domain containing 17"
"ENSMUSG00000000223",189.950160292161,0.285262078274244,0.138410929304917,2.06097943064754,0.0393050024910236,0.324358229475226,"Drp2","13497","dystrophin related protein 2"
"ENSMUSG00000000247",44.3945747486285,-0.128540265311144,0.266347787334414,-0.482603090483926,0.629377584332137,0.905745131777798,"Lhx2","16870","LIM homeobox protein 2"
"ENSMUSG00000000253",53.0337819745339,0.0044071541131825,0.28234306861742,0.0156092165986701,0.987546152796833,0.996358315772839,"Gmpr","66355","guanosine monophosphate reductase"
"ENSMUSG00000000263",4.34645028667413,1.17340119824175,0.631241904906577,1.85887722142815,0.0630445435097856,0.407557867556623,"Glra1","14654","glycine receptor, alpha 1 subunit"
"ENSMUSG00000000275",16.2499347483177,0.23575021597774,0.423955462937785,0.556073070374225,0.578160903731698,0.88515741953055,"Trim25","217069","tripartite motif-containing 25"
"ENSMUSG00000000276",793.996304557117,-0.299578544457329,0.131261330743544,-2.28230616557317,0.0224712707931723,0.240894849477749,"Dgke","56077","diacylglycerol kinase, epsilon"
"ENSMUSG00000000278",128.514392672614,-0.28756335362981,0.198147890402028,-1.45125619579579,0.146708533971652,0.567757954626993,"Scpep1","74617","serine carboxypeptidase 1"
"ENSMUSG00000000282",10.8779256656051,-0.105592449405662,0.408475662234442,-0.258503649466042,0.796018232753824,0.951533967168546,"Mnt","17428","max binding protein"
"ENSMUSG00000000290",6.42654968454553,-0.427957862437285,0.548393092779511,-0.780385216502629,0.435164166929602,0.82333277598771,"Itgb2","16414","integrin beta 2"
"ENSMUSG00000000296",229.399068868396,-0.506402402484515,0.162548553904984,-3.11539161880535,0.00183700842237654,0.0499656519565023,"Tpd52l1","21987","tumor protein D52-like 1"
"ENSMUSG00000000326",312.442574678338,-0.483528387326442,0.146118596231263,-3.30915023684705,0.000935796076020588,0.0304793363037313,"Comt","12846","catechol-O-methyltransferase"
